Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,Week,Target
0,84.69,3.523,219.1336097,6.425,1970,1,1,1,912542.82
0,44.99,3.75,197.4133259,8.256,1970,1,1,1,583322.2
0,82.5,4.055,130.8381613,7.17,1970,1,1,1,535537.03
0,72.7,2.942,132.6141935,8.099,1970,1,1,1,639651.24
0,88.44,3.112,126.1283548,9.199,1970,1,1,1,491115.86
0,79.78,2.612,126.1283548,7.372,1970,1,1,1,1848426.78
0,52.5,3.529,130.8261935,6.104,1970,1,1,1,2025582.62
0,92.83,3.779,129.1338387,8.442,1970,1,1,1,265003.47
0,71.17,3.473,213.3436744,8.395,1970,1,1,1,1284334.79
0,54.83,2.915,126.5262857,13.975,1970,1,1,1,1491300.42
0,59.17,3.555,222.2392726,6.132,1970,1,1,1,1465187.71
0,33.11,3.876,137.5066897,4.261,1970,1,1,1,1292724.9
0,65.97,3.756,130.8295333,5.621,1970,1,1,1,338400.82
0,72.71,4.449,131.1499677,6.943,1970,1,1,1,1734834.82
0,61.11,3.555,224.1320199,6.833,1970,1,1,1,1379473.03
0,70.67,2.691,189.774698,6.868,1970,1,1,1,588344.18
0,50.99,2.983,132.152129,10.16,1970,1,1,1,518940.88
0,43.92,3.551,187.9703629,8.523,1970,1,1,1,2174056.71
0,88.89,4.127,131.0287742,7.396,1970,1,1,1,261851.74
0,70.71,2.69,189.9368504,6.868,1970,1,1,1,562633.67
0,79.14,3.263,130.7012903,4.077,1970,1,1,1,2175563.69
0,54.07,4.027,138.8256,7.138,1970,1,1,1,1095504.26
0,46.41,3.53,211.1847207,7.082,1970,1,1,1,728525.6
0,79.69,2.759,214.2037634,7.343,1970,1,1,1,1264272.52
0,61.53,3.601,223.0154263,6.17,1970,1,1,1,434593.26
0,53.53,3.555,212.1174212,9.653,1970,1,1,1,613042.97
0,75.22,3.654,142.1916279,8.839,1970,1,1,1,866216.36
0,64.6,3.57,197.9792136,7.872,1970,1,1,1,686365.4
1,34.11,2.955,127.0876774,10.21,1970,1,1,1,902109.69
0,40.19,2.572,210.7526053,8.324,1970,1,1,1,2136989.46
0,79.69,3.561,225.4944288,5.539,1970,1,1,1,547226.0
0,21.13,2.55,189.5340998,7.039,1970,1,1,1,469868.7
0,55.83,3.618,136.5017742,8.471,1970,1,1,1,1048212.62
0,50.22,3.87,197.5481609,6.547,1970,1,1,1,1353285.1
0,80.79,2.624,211.2552578,8.099,1970,1,1,1,671688.06
0,62.86,2.725,215.2248,6.433,1970,1,1,1,836419.14
0,15.22,3.542,136.8564194,7.467,1970,1,1,1,838751.5
0,63.97,3.873,135.0837333,9.966,1970,1,1,1,536914.17
0,26.7,2.747,131.637,5.892,1970,1,1,1,1319588.04
0,69.11,3.845,220.0454862,7.244,1970,1,1,1,1499727.02
0,70.43,3.891,221.4356112,7.143,1970,1,1,1,1899676.88
0,57.62,3.882,130.6457931,7.545,1970,1,1,1,1990371.02
0,36.53,2.826,131.9019677,8.512,1970,1,1,1,1029849.2
0,87.7,2.619,214.8897938,7.346,1970,1,1,1,1311263.07
0,47.74,2.85,181.8657537,8.899,1970,1,1,1,877235.96
0,59.33,3.36,223.6591137,6.833,1970,1,1,1,424960.66
0,39.26,3.01,215.5528862,6.262,1970,1,1,1,782256.66
0,37.79,3.513,212.7386486,6.961,1970,1,1,1,1911510.64
0,66.73,4.222,131.1173333,11.627,1970,1,1,1,1006486.96
0,89.33,3.533,219.382382,6.404,1970,1,1,1,544643.33
0,40.94,3.895,134.1777742,7.658,1970,1,1,1,587370.81
